category,screen,object,property,en,es,suggested_es,suggestion_from,similarity,internal_id
<HMI screen>,ENG_Manual_Cyl,Button_7,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zZ1+U6kd2dD7KGHzeqRIS+MUHF4NU/qw1RA1dfcgDJUlO1FuWfkKBcFvm0XRv0FSUnN600HE0E1W2jCQByZbCDQ==
<HMI screen>,ENG_Manual_Cyl,Button_8,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zi+oEO1QZvBO3tTuLwHchW0uAGqnvQsPhKRf8TtCi1kDXaHixVjd83jvG3kNkq3n1RAxjm0n6gCK+C2PU5Ibi5A==
<HMI screen>,ENG_Manual_Cyl,Button_16,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zoq48J6MBmddwmuBq85EPj54znp41vufOMnyvHGLZyy8WyHSu2pDarRud3nJeb4XToxnXZRh9BAxzMbM/b2hVnw==
<HMI screen>,ENG_Manual_Cyl,Button_5,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zCBD9UBV8X24xFzVgUcOPNTitaQb5aSfcZ1pMBnS2sUFp3vEzgsTnXK7+It1CN5XowgfWpzDmQKpoTe+bM4SvSA==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_17,Text, 0    No sensor, 0    Sin sensor,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z+T9YjXjusNFncbyIxRGjHxsGW5rS8+1YkN/cJc/2G2IdNmjJNLQxEWfm661FHzg2TvGx/6VbYHFdTh+edAPZqg==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_18,Text, 1    Magnetic switch, 1    Interruptor magnético,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z8lOpFB5QUBBKgj4zDHVxsNyS8CL2uba2JFj4GrGpKD7cL8kLmOC0DHcoQknpMYDxN5+z1h9kFRdy8y2ndQj/jw==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_19,Text, 2    Linear ruler, 2    Regla lineal,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zDDq6Lraa0Ia6tpw/eQJLx7Gq+HM3zL8snrrFQ6Kg7EwGZ/tL3iG/1cwfVKOSAjOJyyfCz00FKKTXc+fLL2VmsQ==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_2,Text OFF,Apply,Aplicar,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zt9eh9eHULjqGWWsfFn2rmjkwlFUNrGAaVQ6V6IsmXgP3+CvTFoOqWYSqBvACYRi5l1TH6OEIZ7sKYGEJe/yIYg==
<HMI screen>,ENG_Manual_Cyl_legacy,Template_Button_4,Text OFF,Auto,Auto,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zyKM97Rgn0L7F2GCrWg61BPwbwZP53gtiC5jXlzQFFOKr16jwtxjPQYsp96tGWrQuHma14eMTiii1D2pW97Keow==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_1,Text,CYL,CIL,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zbBZ/wAcbetN66a9X2rIT7ve4iRJ8eFGT+tW751c0v3FoQcfHxiip/cf0cZR4MEglwzSglwWDb/kkQc3BjolAdg==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_2,Text,GO,IR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zfWF/d03dh2W8InDfuJPjbAe5H+RWDQVIgQbh8aRc37ci0rloFP4UpBrJ6ny/ahXFO6lUWvsPsci7ykujeAbaVQ==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_17,Text OFF,MDI,MDI,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z/HwdDMz2cADLGjDbBLUzs52WgwFs8UdaRdF6H/T7LW9z/Dpg3JNk+lOgEs35K5Z2hAzs5EQXNyzC1fnKyHkcOA==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_9,Text,MEASURE,MEDIR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zua9TFy46OtDoI0QC1W5/sv18IAN6b1Ehi29LsOq73T8g1Yn+SHKe0k7Yc49rVJnCQFoKEnk7IWBWSuzdGsDOvg==
<HMI screen>,ENG_Manual_Cyl_legacy,Template_Button_5,Text OFF,Manual,Manual,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zfj5Ou6izy8urLMj4+KuWn+6dgsqDPieAUfpcVlL9oy+RKvNjEEoHq4cC+ZSr7s/6MYvmO2CFTzLLj87YRbl0kg==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_12,Text,Max Pos,Pos máx,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z7GU+nGoeIjr55ISfx0XKycElyrap6fD8oGFjq+OilcPiiwA9gaCeteKALvfhQrO15Kmv4NtkxRGFcLVW2byuPQ==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_13,Text,Min Pos,Pos mín,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zDVEi2CzJQzmxJV0TG8eZ3+YQejIJPSv+jNAWAH8MMfLGmmhXjFxY/XzXWniq9BHI1uXeq7knbNWXvrFWxgCmuQ==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_6,Text OFF,PUSH,PULSAR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zY2CyHMei554d7hfVXt4I3kbLikKcl/uDA9lwtXLzpdiFNNePcjCG+ESqrk/vbq863qeFDpVWhIeESD4kKjLg7Q==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_4,Text OFF,PUSH,PULSAR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z/M4cEgv2FaunXgY2ErOkNtxIv5j6VNPN6RvJveW0QlXfa5OtxpBYdmwib2E4Vd/nLTPjEiLVRFK/zF4h5cXutg==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_1,Text OFF,PUSH,PULSAR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zyqDSGZA7boVpzhiPLqdsUYVozbaqMKNrAEpe8tiv0T3wK3vbL6ugicYmraV60f8IVR331jxbukzQrxkcFWn8yw==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_3,Text OFF,PUSH,PULSAR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zyWXCTNtNb+b9lb+q7UEyYE2xes++xs9PewjPvWxxzGgafoSZiyNowPWs7cqIHbcZmLJK/FPpbQymxA8/b9brmQ==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_5,Text OFF,PUSH,PULSAR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zZYCTkx6PtPiPVfqyGhKG00P0nkFufylTTcixlRhblPT/y9Z0blz00/nCMEm5XUXLXv+CGdCrERAhQL9ZFCp6ug==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_16,Text OFF,Power,Potencia,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zVOBEN9bsb2AmkMWzH2AeJmOkW6Eu904xWGd0Z3eowXKstDJ0HKaM27RuF+Oa8whNuTsMDd4+y053WINBPc25Bw==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_6,Text,SET POINT,CONSIGNA,Conjunto POS,SET POS,0.75,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zCUZeUJU6DplzsWtMt/DaBjQnd8PVLtOke5h47/zpN63UAy2gfbk732tjPZmzcDHyoZUCpsJjuQlWTO7iAM3ClQ==
<HMI screen>,ENG_Manual_Cyl_legacy,Start screen,Text OFF,Start screen,Pantalla inicial,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zn45G1A7AyNEKiIg/b//LhWFQ7SDJCOK7WM8SKTMLxGpZ1kif7ahzunTGNqHd4tPXiNb4+Jj5QVXUVF902fUE0w==
